cluster,total_points,city_name,poi_type_知识科普型,poi_type_文化康乐型,poi_type_体验考察型,holiday_秋季学期,holiday_春季学期,holiday_暑假,holiday_寒假,holiday_十一假期,holiday_五一假期,top1_subtype,top1_ratio,top2_subtype,top2_ratio,top3_subtype,top3_ratio,top4_subtype,top4_ratio,top5_subtype,top5_ratio,top1_nametype,top1_name,top2_nametype,top2_name,top3_nametype,top3_name,top4_nametype,top4_name,top5_nametype,top5_name,poi_type_励志拓展型,poi_type_自然观赏型
0,285,上海,0.9438596491228071,0.04912280701754386,0.007017543859649123,0.34385964912280703,0.2631578947368421,0.24912280701754386,0.08070175438596491,0.05263157894736842,0.010526315789473684,科技馆,0.47368421052631576,博物馆,0.35789473684210527,动物园,0.07017543859649122,影视城,0.04912280701754386,植物园,0.03859649122807018,上海科技馆,112,上海自然博物馆,43,上海天文馆,14.0,中国航海博物馆,14.0,上海野生动物园,13.0,,
1,122,北京,0.9918032786885246,,,0.23770491803278687,0.319672131147541,0.27049180327868855,0.10655737704918032,0.04918032786885246,0.01639344262295082,博物馆,0.5901639344262295,科技馆,0.2786885245901639,动物园,0.10655737704918032,植物园,0.01639344262295082,大学,0.00819672131147541,中国科学技术馆,30,中国地质博物馆,23,北京野生动物园,12.0,国家自然博物馆,11.0,北京汽车博物馆,10.0,0.00819672131147541,
2,17,长春,0.5294117647058824,0.47058823529411764,,0.17647058823529413,0.29411764705882354,0.35294117647058826,0.11764705882352941,,0.058823529411764705,影视城,0.47058823529411764,动物园,0.35294117647058826,博物馆,0.11764705882352941,科技馆,0.058823529411764705,,,长影世纪城,8,长春动植物公园,6,吉林省博物院,2.0,吉林省科技馆(永顺路),1.0,,,,
3,147,成都,1.0,,,0.2925170068027211,0.2789115646258503,0.2789115646258503,0.10884353741496598,0.02040816326530612,0.02040816326530612,博物馆,0.8775510204081632,动物园,0.10204081632653061,植物园,0.013605442176870748,科技馆,0.006802721088435374,,,杜甫草堂,34,成都自然博物馆,21,三星堆博物馆,17.0,武侯祠,15.0,金沙遗址博物馆,15.0,,
4,30,青岛,0.9666666666666667,,,0.03333333333333333,0.26666666666666666,0.43333333333333335,0.2,0.03333333333333333,0.03333333333333333,科技馆,0.5333333333333333,博物馆,0.43333333333333335,大学,0.03333333333333333,,,,,海信探索中心,16,青岛啤酒博物馆,4,贝林自然博物馆,3.0,青岛德国总督楼旧址博物馆,2.0,中国海洋大学崂山校区-礼仪广场,1.0,0.03333333333333333,
5,11,太原,1.0,,,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,博物馆,1.0,,,,,,,,,中国煤炭博物馆,5,山西博物院,2,晋祠博物馆,2.0,太原北齐壁画博物馆,1.0,太原市博物馆,1.0,,
6,192,广州,0.9114583333333334,0.005208333333333333,0.057291666666666664,0.2760416666666667,0.3125,0.22395833333333334,0.10416666666666667,0.046875,0.036458333333333336,科技馆,0.6041666666666666,动物园,0.16145833333333334,博物馆,0.09895833333333333,植物园,0.046875,实践基地,0.03125,广东科学中心,81,珠海横琴国家地理探险家中心,19,长隆野生动物世界,19.0,长隆飞船乐园,11.0,长隆飞鸟乐园,7.0,0.026041666666666668,
7,48,南京,0.9791666666666666,,0.020833333333333332,0.3333333333333333,0.16666666666666666,0.25,0.14583333333333334,0.041666666666666664,0.0625,博物馆,0.7708333333333334,动物园,0.16666666666666666,植物园,0.020833333333333332,科技馆,0.020833333333333332,研学,0.020833333333333332,六朝博物馆,16,红山森林动物园,7,中国科举博物馆(江南贡院),6.0,南京博物院,3.0,南京市博物馆(朝天宫),3.0,,
8,14,景德镇,1.0,,,0.21428571428571427,0.35714285714285715,0.2857142857142857,,0.14285714285714285,,历史文化遗产,0.5,科技馆,0.35714285714285715,博物馆,0.14285714285714285,,,,,景德镇古窑民俗博览区,7,江西直升机科技馆,5,景德镇中国陶瓷博物馆,2.0,,,,,,
9,11,安阳,1.0,,,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.2727272727272727,博物馆,1.0,,,,,,,,,中国文字博物馆,9,羑里城,2,,,,,,,,
10,12,郑州,1.0,,,0.16666666666666666,0.25,0.16666666666666666,0.3333333333333333,0.08333333333333333,,博物馆,0.75,动物园,0.25,,,,,,,河南博物院,8,郑州银基动物王国,3,郑州博物馆,1.0,,,,,,
11,21,杭州,1.0,,,0.2857142857142857,0.38095238095238093,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.047619047619047616,博物馆,0.47619047619047616,动物园,0.2857142857142857,科技馆,0.14285714285714285,历史文化遗产,0.047619047619047616,植物园,0.047619047619047616,杭州野生动物世界,5,浙江自然博物院(杭州馆),3,良渚博物院,3.0,中国杭州低碳科技馆,2.0,中国刀剪剑博物馆,1.0,,
12,22,宁波,0.9545454545454546,,,0.36363636363636365,0.18181818181818182,0.13636363636363635,0.22727272727272727,,0.09090909090909091,科技馆,0.6363636363636364,博物馆,0.2727272727272727,大学,0.045454545454545456,动物园,0.045454545454545456,,,宁波科学探索中心,14,天一阁博物院,4,保国寺古建筑博物馆,1.0,宁波博物院,1.0,宁波大学奠基厅,1.0,0.045454545454545456,
13,44,武汉,0.9545454545454546,,,0.1590909090909091,0.4772727272727273,0.13636363636363635,0.06818181818181818,0.045454545454545456,0.11363636363636363,博物馆,0.8181818181818182,植物园,0.06818181818181818,生态景区,0.045454545454545456,动物园,0.045454545454545456,科技馆,0.022727272727272728,海合安武汉极地海洋公园,20,湖北省博物馆,11,东湖生态旅游风景区,2.0,武汉园博园(武汉自然博物馆),2.0,武汉植物园,2.0,,0.045454545454545456
14,16,长沙,0.6875,0.3125,,0.25,0.0625,0.5625,0.0625,,0.0625,博物馆,0.625,影视城,0.3125,动物园,0.0625,,,,,湖南博物院,9,华谊兄弟(长沙)电影小镇,5,长沙生态动物园,1.0,长沙简牍博物馆,1.0,,,,
15,42,厦门,1.0,,,0.16666666666666666,0.23809523809523808,0.38095238095238093,0.09523809523809523,0.047619047619047616,0.07142857142857142,科技馆,0.9047619047619048,植物园,0.09523809523809523,,,,,,,厦门科技馆,37,厦门园林植物园,3,厦门园林植物园-花卉园,1.0,植物园科普展馆,1.0,,,,
16,11,大连,1.0,,,0.18181818181818182,0.45454545454545453,0.2727272727272727,,,0.09090909090909091,博物馆,0.5454545454545454,动物园,0.45454545454545453,,,,,,,大连贝壳博物馆,5,大连森林动物园,4,大连狮虎园,1.0,大连自然博物馆,1.0,,,,
17,25,沈阳,1.0,,,0.28,0.28,0.24,0.16,0.04,,博物馆,0.84,科技馆,0.12,植物园,0.04,,,,,张学良旧居,6,沈阳故宫,6,新乐遗址博物馆,2.0,沈阳博物馆,2.0,沈阳世博园,1.0,,
18,44,西安,1.0,,,0.1590909090909091,0.2727272727272727,0.3409090909090909,0.20454545454545456,,0.022727272727272728,博物馆,0.9545454545454546,科技馆,0.045454545454545456,,,,,,,秦始皇帝陵博物院(兵马俑),10,陕西自然博物馆,9,陕西历史博物馆,6.0,西安碑林博物馆,4.0,西安半坡博物馆,3.0,,
